customer_tweet_id,customer_message,uber_response,created_at,suggested_intent,intent
353087,@Uber_Support See you guys making situation complicated. Pls confirm do you charge for UP toll charges when the cab is already in UP.????,@199948 Happy to help! Looks like you were charged the UP tax and our team has correctly advised you in your original support thread. Please reply to us in-app or by e-mail and we'll gladly follow up.,Sat Nov 25 07:36:55 +0000 2017,fare_payment,
2574972,@Uber_Support having an issue with my account. Trying to buy the ride pass but it’s saying that I have an outstanding payment that I shouldn’t have.,@730195 We're happy to check on this with you. Please connect with us at https://t.co/V8YvTNr37q so we can take a look directly.,Thu Nov 30 21:22:27 +0000 2017,fare_payment,
667900,@115873 hope there's a lag in my credit to my account because my app is telling me I've been credited $5.00 🙃 https://t.co/aFcdQBraC5,@279216 Happy to help! Please reach out to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.,Thu Nov 23 03:27:24 +0000 2017,fare_payment,
2950089,@115873 My phone is 954-554-4853. Last night my driver of Chevrolet Equinox DVDC57 was lost. I watched him on map. I cancelled after seeing him wander in other directions. Was charged both $13. + $24.19 for next ride. Pls refund $24.19.,@136346 We can take a look! Send us a note via https://t.co/1xM0TILvAI so our team can get in touch.,Wed Nov 29 17:03:51 +0000 2017,fare_payment,
2482773,@115873 @Uber_Support Driver staged vomiting in the car and charged me $150. Everybody was sober. Uber won’t refund. Help.,@709336 We can definitely take a closer look! Contact us here https://t.co/a6RfeBkKmr so we can help.,Sun Oct 29 23:15:24 +0000 2017,fare_payment,
1231047,So @Uber_Support why did you just cancel my trip for no reason? I can't afford to resend it again after you already charge my card. What the hell? So I'm late for work because of this.,"@408748 Sorry for the trouble! Send us a note here, https://t.co/e8HVorX5rh and our team will be in touch.",Sat Nov 25 19:23:16 +0000 2017,fare_payment,
679980,@Uber_Support I don't speed have no History of tickets and I'm surprised that I was sent a message today about my driving. At a loss. And that goes to show you that some of your riders aren't always the source for feedback as many of them are in a bad mood to begin with.,@282233 We can definitely take a look! Send us a DM with your email address so we can follow up.,Thu Nov 23 07:58:59 +0000 2017,fare_payment,
1362627,@115873 you have a bad driver Karen driving a bmw in Miami. He claimed he went by us and then said we had too many bags paid 2 cancel fees,@437276 Here to help! Send us a note here; https://t.co/e8HVorX5rh and our team will be able to help.,Fri Oct 27 20:33:06 +0000 2017,fare_payment,
1104466,Should I tip my uber eats driver or does that come out of the fee?,"@348328 Hey, Bailey. For more information please visit the following page https://t.co/zqswAfUkwJ.",Sun Oct 15 04:19:43 +0000 2017,fare_payment,
14353,@Uber_Support Over 90 minutes with no response to missing items with my eats delivery. Do you even have support? I feel like the name lies,@119064 Here to help. Send us a note at https://t.co/ZFaWy0Lkdu so our team can connect.,Wed Nov 01 01:27:40 +0000 2017,fare_payment,
1144843,@Uber_Support I lost money after cancelling a trip (no cancellation fee) on my Uber gift card. Whom do I contact?,@389446 Oh no! Thanks for bringing this to our attention. DM us your account email along with details for assistance.,Sat Oct 14 19:34:24 +0000 2017,fare_payment,
2811229,"@115873 @Uber_Support I cannot delete my credit card information from App , it says you cannot delete the only payment methode ! Why not ? I want to delete it or delete my account.",@783943 We're here to help! Send us a note via https://t.co/OhfgxSjmGy so our team can connect.,Wed Nov 22 07:25:51 +0000 2017,fare_payment,
2226891,"@115873 Emma does rent a car as an @115873 driver! Curiously, she doesn't count her fixed costs in working out her self-employed hourly rate? Really?!",@650032 Due to our privacy policy we're not able to address these concerns over social. Please have the account holder (or the person you're writing in for) contact us at https://t.co/OhfgxSAY58 so we can assist them further. Please let us know if you have any other questions.,Fri Nov 10 10:25:04 +0000 2017,fare_payment,
1087469,@115873 Hi uber…I want to know that why i was charged because the driver canceled the trip?,@318191 We can absolutely follow up! Can you please send us a note via https://t.co/e8HVorX5rh,Sun Oct 15 02:54:24 +0000 2017,fare_payment,
2855764,@115873 your company is a utter joke. Got charged almost £2 for a ‘wait time’ when I was the one who was waiting🤔,@793787 We can definitely take a look! Send us a note via https://t.co/WJq5jsdLlf so our team can get in touch.,Mon Nov 27 21:21:41 +0000 2017,fare_payment,
1612071,It beats logic for @Uber_Support to estimate fare then once at the destination the cost almost doubles @115873,"@494716 We can definitely take a closer look! Contact us here; https://t.co/oEOANqFpjc, so we can help.",Sun Nov 05 12:18:29 +0000 2017,fare_payment,
1297303,"@Uber_Support I have sent the required info, if you need more, feel free to call me. Thanks",@423167 We're here to help! Send us a DM with your email address and more details so we can follow up.,Thu Oct 26 23:39:03 +0000 2017,fare_payment,
2387500,@Uber_Support Not happy with the response from your team. Why must I pay the parking fee. It's better to take the yellow cabs. Not at all satisfied. This is cheating..,@687985 Sorry to hear about that! Send us a DM with your email address and we'll connect.,Tue Nov 14 12:16:58 +0000 2017,fare_payment,
1092390,@115873 why is the cost of my trip different in the app receipt and my bank charge?,@377779 We'll be happy to take a closer look. Send us a note via https://t.co/ue84RGNpRP so our team can connect.,Sun Oct 15 04:17:40 +0000 2017,fare_payment,
1016486,"@115873 I made two journeys with you today, why have I been charged three times? https://t.co/aV6nUbV3SB",@300593 We're here to help! Please send us a note here; https://t.co/zJ6aIZinzb so our team can connect.,Sun Oct 22 19:11:14 +0000 2017,fare_payment,
1451658,"@Uber_Support sent you a dm, app is telling me I have a payment issue.",@456877 Here to help. Kindly send a note here: https://t.co/76zx6Rm1i6 so our team will get in touch.,Thu Nov 02 17:15:28 +0000 2017,fare_payment,
1027634,"@115873 hi! just had to cancel a trip because the driver's car was full, got charged a fee--any way to fix?","@363176 Sorry to hear that! Send us a note here, https://t.co/e8HVorX5rh and our team will be in touch.",Mon Oct 23 00:46:24 +0000 2017,fare_payment,
