customer_tweet_id,customer_message,uber_response,created_at,intent
2839232,Uber india @115873.IND your customer support is hopeless. They dont read mails. Just copy paste the templates. Highly disappointed ! #uber #UberIndia @115873 @Uber_Support @116288,@790133 We're here to help! Send us a DM with your email address so we can follow up.,Mon Nov 27 16:19:57 +0000 2017,
1427715,@Uber_Support I could only write one sentence. I couldn't add that I tried calling my driver three times and his phone was fucking off! That's the one that drove right past me (after I waited 8 mins) and then cancelled. WTF,@451649 We're here to help! Send us a DM with your email address so we can connect.,Thu Nov 16 06:07:50 +0000 2017,
1073967,"@Uber_Support If I get a free ride, how soon does it expire?",@373400 Happy to help! The free ride will not expire until you use it. You can also learn more about this topic here https://t.co/RJzNT28Aw8,Mon Oct 23 19:14:05 +0000 2017,
2052816,"@115877 I’m still having trouble ordering from your site across all my devices, any idea whats going wrong?","@607098 So sorry for the trouble, Molly! Our team is aware of the issue, and we're working to get back up and running as quickly as possible.",Thu Oct 05 21:42:53 +0000 2017,
171786,"@Uber_Support All now I haven’t received a response from filling out that form, what shall I do?",@156120 We can definitely take a look! Send us a DM with your email address so we can follow up.,Wed Nov 29 22:47:54 +0000 2017,
2213539,"@2006 ...(which I get isn't @115873's fault but still), this was SUPER frustrating. 🙄🙄🙄",@646898 Happy to take a closer look. Can you send us a DM with your email address with additional info so we can follow up?,Fri Nov 10 03:20:49 +0000 2017,
2262071,@Uber_Support Replied to this tweet and shared the details...,"@122720 We're here to help. DM us the email address connected with your account profile, so our team can follow up with you!",Tue Nov 14 11:59:51 +0000 2017,
2326216,"@115873, bro. You guys have been sub-par in #DC lately and according to you I’m at 1264 trips in the last 4 years. Decent CLV. Want to chat?",@673756 We're here to help! Send us a DM with your email address and more details so we can assist.,Fri Oct 20 00:05:13 +0000 2017,
1891933,@Uber_Support can you please make it harder to save an address to saved destinations please? It's clearly not hard enough.,"@124546 Happy to help. Visit https://t.co/1lkP6bVjfg for information on Driver Destinations, or reach out at https://t.co/FF2YGTGjuA for assistance.",Sun Oct 22 17:32:16 +0000 2017,
1915738,This how @115877 and @Uber_Support manage a complaint regarding an incorrect order. https://t.co/MkKxVrsMyt,"@396349 We'd love the opportunity to make things right for you, Kevin! We understand you're frustrated, and we'll DM you momentarily to help.",Thu Oct 26 01:37:02 +0000 2017,
2832175,@115873 Worst customer suppoer ever. My query is still not resolved and these guys are not responding. Worst part is there is no telephone no to call,@788525 Sorry to hear about that! Please provide a specific details regarding your concern and we'll connect.,Mon Nov 27 13:30:34 +0000 2017,
514100,@Uber_Support I need someone to call me,"@238355 At this moment, we don't offer phone support. For your inquiries and other concerns, you may visit https://t.co/balq3Eyso6",Sat Dec 02 00:09:21 +0000 2017,
1197993,@Uber_Support are drivers required to allow car seats (we need to travel with an infant)? No info on your website,"@401478 Happy to help! For more info on how to request a car seat, you may visit: https://t.co/B7TnOOg1JY",Wed Oct 25 03:10:35 +0000 2017,
2372482,@Uber_Support how do I get an Uber beacon?,@157069 Happy to help! Find out more info here; https://t.co/vxNRfwTBJn,Tue Nov 14 00:35:54 +0000 2017,
2587460,@115873 Would be nice to know about extra charges for airport dropoffs and your driver getting lost. $18 turned to $40 REAL quick. Not cool.,@335576 Sorry for the trouble! Send us a note via https://t.co/zJ6aIZinzb so we can connect.,Mon Oct 30 17:25:41 +0000 2017,
2662445,@Uber_Support I think my credit card is being used for Uber trips - how can I look up the trip ID# to verify?,"@750370 Here to help! Follow up here; https://t.co/kGIXas5Cxg, and our team will connect right away.",Tue Oct 31 05:51:07 +0000 2017,
497672,"@Uber_Support same problem again..i called driver,ws unable to come to pickup point as it ws far away..he cancelled &amp; i was charged wrongly.",@133049 Sorry to hear about the trouble! Please visit https://t.co/h840Iouehc so we can sort this out.,Fri Dec 01 18:24:38 +0000 2017,
964319,"@Uber_Support I’m over this back and forth stuff. Taking a loss but, AM considering @115879",@348889 We definitely understand your concern and we want to help. Please DM us the email address linked to your account so we can connect.,Sat Oct 14 04:18:51 +0000 2017,
306997,@Uber_Support Thank you!!,@189305 No problem! Let us know if we can assist further.,Fri Oct 06 22:57:47 +0000 2017,
2762925,"hey @115877, can you deliver me an extra large order of death?","@772931 Here to help! Please send us a DM with your email address and specific details of your concern, so we can better assist you.",Mon Nov 27 00:15:08 +0000 2017,
2177690,@Uber_Support I have waited and checked my emails 100 times no email yet. Can this be checked on priority?,@638291 We have followed up with your message from your original email. Please check that email and follow up with us directly.,Tue Nov 14 09:54:35 +0000 2017,
983440,@Uber_Support need to contact TLC Uber support team to get back online,@353152 Please connect with us at https://t.co/xPiskerIJO or https://t.co/WQboREqSSu so we can look into this.,Wed Oct 11 18:46:36 +0000 2017,
2734535,@115873 why did I get charged an extra $13 for a ride and I emailed about it 2 days ago have not heard anything.,@766407 We're sorry to hear this. Can you please send us a DM (direct messages) of your email address so we can look into this?,Mon Nov 20 19:51:56 +0000 2017,
2560513,@Uber_Support Hi I was just checking my bank account and it looks like I have been charged twice for my last 2 trips. Please assist!,@528605 Here to help! Send us a note at https://t.co/DceIRNI6kV so our team can connect.,Thu Nov 16 17:19:34 +0000 2017,
28504,@115873 @119983 @116288 your driver harassed and badgered my guests to pay cash for a non cash payment drive. These were poor folks,"@122237 We can absolutely follow up, Tarun! Can you please send us a DM with your email address?",Wed Nov 01 10:10:51 +0000 2017,
1777919,Yo @115873 why does your app always give your drivers the dumbest possible route? Figure it out!!,"@534196 Sorry for the trouble! Send us a note here, https://t.co/y4EDPcVZOI, and our team will be in touch.",Sat Oct 28 23:58:04 +0000 2017,
2638528,@Uber_Support @744656 is that my email __email__,@536997 We see your outreach and a member of our team will be following up via email as soon as possible. We appreciate your patience.,Fri Nov 17 21:10:57 +0000 2017,
2565876,@115873 I raised an issue on FB and on the app. as well. No response. Do we care for the customers or only care for the surge pricing?,@727932 We can definitely take a look! Send us a DM with your email address and details so we can follow up.,Thu Nov 16 18:45:05 +0000 2017,
936535,@Uber_Support you guys charged me almost $50 for a trip that was originally 22$ due to your broken Navi. #notfair,"@342020 Happy to help, Jordan. Please go here https://t.co/Wavn5xnaeo, so we can follow up.",Fri Oct 13 20:26:21 +0000 2017,
414975,@Uber_Support does the £10 off your first journey come off automatically when i get charged for the journey?,"@213952 Any promotions you've added to your account will apply at the end of the trip, yes. If you have any further questions, please let us know.",Sat Oct 07 17:16:22 +0000 2017,
603567,Does @115877 deliver edibles?,"@263413 We deliver the food you want, from the restaurants you love, at Uber speed. Learn more at https://t.co/6rZp3XyWol",Sun Dec 03 22:36:45 +0000 2017,
1723283,@Uber_Support Can you help me make an account when someone already used my cell phone number?,@521331 We can take a look! Send us a note via https://t.co/mSBDsMUeID so our team can get in touch.,Thu Oct 26 20:04:48 +0000 2017,
367525,@115877 please help https://t.co/LDAQmoqEno,@203060 Sorry to hear about this! Send us a DM with your email address so we can connect.,Sun Oct 08 17:31:25 +0000 2017,
1787440,"@Uber_Support Not able to get in as portal does not recognise email id and for mobile users, ask to get thru mobile app. Now what ? https://t.co/p0SNzChsZC","@536991 Sorry for the trouble, Gourav. Please send us a DM with your email address so we can follow up.",Fri Nov 17 12:16:16 +0000 2017,
